"Process Name", PID, Session Name, Session#, Mem Usage
"Image Name","PID","Session Name","Session#","Mem Usage"
"NetworkCap.exe","3264","Services","0","11,784 K"
"SysInfoCap.exe","3276","Services","0","24,624 K"
"svchost.exe","3284","Services","0","18,144 K"
"svchost.exe","3312","Services","0","10,076 K"
"TouchpointAnalyticsClientService.exe","3460","Services","0","63,992 K"
"svchost.exe","3536","Services","0","7,560 K"
"svchost.exe","3588","Services","0","16,728 K"
"SynTPEnhService.exe","3740","Services","0","9,588 K"
"svchost.exe","3796","Services","0","19,184 K"
"svchost.exe","3832","Services","0","12,444 K"
"svchost.exe","3840","Services","0","5,548 K"
"svchost.exe","3892","Services","0","8,484 K"
"svchost.exe","3900","Services","0","8,292 K"
"Memory Compression","3908","Services","0","204,908 K"
"svchost.exe","3516","Services","0","8,156 K"
"unsecapp.exe","4156","Services","0","8,288 K"
"svchost.exe","4252","Services","0","14,472 K"
"WmiPrvSE.exe","4260","Services","0","10,500 K"
"svchost.exe","4392","Services","0","6,696 K"
"svchost.exe","4576","Services","0","6,452 K"
"svchost.exe","4648","Services","0","18,864 K"
"svchost.exe","4676","Services","0","11,864 K"
"spoolsv.exe","4764","Services","0","13,920 K"
"svchost.exe","4800","Services","0","15,744 K"
"svchost.exe","4868","Services","0","7,740 K"
"svchost.exe","4924","Services","0","7,148 K"
"wlanext.exe","5056","Services","0","6,760 K"
"conhost.exe","5076","Services","0","5,592 K"
"svchost.exe","4344","Services","0","6,616 K"
"AppleMobileDeviceService.exe","5124","Services","0","12,820 K"
"mDNSResponder.exe","5144","Services","0","7,156 K"
"OfficeClickToRun.exe","5176","Services","0","54,232 K"
"svchost.exe","5188","Services","0","37,900 K"
"svchost.exe","5200","Services","0","41,336 K"
"ElevationService.exe","5212","Services","0","6,372 K"
"WsidService.exe","5220","Services","0","7,792 K"
"esif_uf.exe","5296","Services","0","6,128 K"
"HPPrintScanDoctorService.exe","5320","Services","0","7,524 K"
"OneApp.IGCC.WinService.exe","5332","Services","0","45,144 K"
"HPCommRecovery.exe","5340","Services","0","22,372 K"
"svchost.exe","5376","Services","0","8,140 K"
"IntelAudioService.exe","5436","Services","0","29,948 K"
"svchost.exe","5444","Services","0","10,692 K"
"mc-fw-host.exe","5496","Services","0","131,432 K"
"servicehost.exe","5508","Services","0","45,956 K"
"svchost.exe","5544","Services","0","9,084 K"
"pg_ctl.exe","5696","Services","0","8,840 K"
"RstMwService.exe","5716","Services","0","8,620 K"
"RtkAudUService64.exe","5740","Services","0","16,240 K"
"SECOMN64.exe","5756","Services","0","12,560 K"
"svchost.exe","5764","Services","0","8,680 K"
"svchost.exe","5792","Services","0","5,492 K"
"MsMpEng.exe","5824","Services","0","248,724 K"
"WMIRegistrationService.exe","5848","Services","0","14,284 K"
"InstallAssistService.exe","5900","Services","0","6,356 K"
"TeamViewer_Service.exe","5920","Services","0","21,300 K"
"svchost.exe","5952","Services","0","18,648 K"
"jhi_service.exe","6344","Services","0","6,340 K"
"postgres.exe","7040","Services","0","12,372 K"
"conhost.exe","7072","Services","0","7,872 K"
"postgres.exe","7284","Services","0","7,640 K"
"postgres.exe","7724","Services","0","7,980 K"
"postgres.exe","7748","Services","0","8,172 K"
"postgres.exe","7756","Services","0","7,948 K"
"postgres.exe","7764","Services","0","8,312 K"
"postgres.exe","7788","Services","0","7,928 K"
"AggregatorHost.exe","7976","Services","0","8,924 K"
"svchost.exe","5316","Services","0","12,416 K"
"uihost.exe","8396","Console","1","19,928 K"
"sihost.exe","8476","Console","1","32,596 K"
"svchost.exe","8576","Console","1","8,740 K"
"svchost.exe","8596","Console","1","28,880 K"
"svchost.exe","8772","Services","0","6,748 K"
"igfxEMN.exe","8804","Console","1","13,328 K"
"svchost.exe","8840","Console","1","8,544 K"
"SECOCL64.exe","8964","Console","1","10,392 K"
"conhost.exe","8976","Console","1","6,120 K"
"svchost.exe","9076","Console","1","27,620 K"
"svchost.exe","9108","Services","0","16,108 K"
"mc-fw-host.exe","9256","Console","1","19,600 K"
"OmenInstallMonitor.exe","9268","Console","1","6,108 K"
"taskhostw.exe","9276","Console","1","16,548 K"
"OverlayHelper.exe","9340","Console","1","6,484 K"
"mc-neo-host.exe","9564","Services","0","16,940 K"
"SynTPEnh.exe","9676","Console","1","21,872 K"
"explorer.exe","9968","Console","1","277,748 K"
"RtkAudUService64.exe","10116","Console","1","13,384 K"
"svchost.exe","10212","Services","0","20,292 K"
"svchost.exe","9088","Console","1","17,184 K"
"svchost.exe","10260","Services","0","11,636 K"
"svchost.exe","10936","Services","0","10,940 K"
"SearchHost.exe","11256","Console","1","350,556 K"
"StartMenuExperienceHost.exe","9956","Console","1","130,980 K"
"RuntimeBroker.exe","10612","Console","1","25,172 K"
"Widgets.exe","10600","Console","1","37,776 K"
"RuntimeBroker.exe","10676","Console","1","49,036 K"
"GoogleCrashHandler.exe","10616","Services","0","1,124 K"
"GoogleCrashHandler64.exe","10512","Services","0","500 K"
"svchost.exe","10580","Console","1","14,884 K"
"SearchIndexer.exe","9316","Services","0","52,476 K"
"dllhost.exe","11504","Console","1","14,256 K"
"ctfmon.exe","9532","Console","1","26,316 K"
"SecurityHealthSystray.exe","12568","Console","1","9,824 K"
"PhoneExperienceHost.exe","12588","Console","1","166,248 K"
"SecurityHealthService.exe","12596","Services","0","19,616 K"
"RtkAudUService64.exe","12696","Console","1","15,404 K"
"chrome.exe","12776","Console","1","257,340 K"
"chrome.exe","12824","Console","1","8,428 K"
"chrome.exe","13108","Console","1","257,488 K"
"chrome.exe","13124","Console","1","53,468 K"
"chrome.exe","13164","Console","1","22,392 K"
"TextInputHost.exe","13332","Console","1","128,828 K"
"svchost.exe","13456","Services","0","11,940 K"
"chrome.exe","13652","Console","1","118,528 K"
"svchost.exe","13864","Services","0","5,244 K"
"WidgetService.exe","14116","Console","1","22,328 K"
"chrome.exe","14292","Console","1","100,220 K"
"chrome.exe","13904","Console","1","24,392 K"
"RuntimeBroker.exe","13392","Console","1","15,128 K"
"NisSrv.exe","14800","Services","0","11,008 K"
